player_key,name,week,position,team_key,team_name,started,nfl_team,points,Passing Yards,Passing Touchdowns,Interceptions,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Return Touchdowns,2-Point Conversions,Fumbles Lost,Field Goals 0-19 Yards,Field Goals 20-29 Yards,Field Goals 30-39 Yards,Field Goals 40-49 Yards,Field Goals 50+ Yards,Field Goals Missed 0-19 Yards,Field Goals Missed 20-29 Yards,Point After Attempt Made,Point After Attempt Missed,Points Allowed,Sack,Interception,Fumble Recovery,Touchdown,Safety,Block Kick,Kickoff and Punt Return Touchdowns,4th Down Stops,Points Allowed 0 points,Points Allowed 1-6 points,Points Allowed 7-13 points,Points Allowed 14-20 points,Points Allowed 21-27 points,Points Allowed 28-34 points,Points Allowed 35+ points,Extra Point Returned
390.p.26483,Case Keenum,1,QB,390.l.99174.t.4,Hareem Kunt,False,Cle,25.86,380.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.31041,Royce Freeman,1,RB,390.l.99174.t.4,Hareem Kunt,False,Den,6.6,0.0,0.0,0.0,10.0,56.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.28378,Jason Myers,1,K,390.l.99174.t.4,Hareem Kunt,True,Sea,3.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,
390.p.100026,Seattle,1,DEF,390.l.99174.t.4,Hareem Kunt,True,Sea,15.5,,,,,,,,,,,,,,,,,,,,,,,20.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
390.p.30977,Josh Allen,1,QB,390.l.99174.t.5,Salmon Sisters,True,Buf,11.06,254.0,1.0,2.0,10.0,38.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.25798,Nick Foles,1,QB,390.l.99174.t.5,Salmon Sisters,True,Chi,6.14,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.25802,T.Y. Hilton,1,WR,390.l.99174.t.5,Salmon Sisters,True,Ind,24.7,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,87.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.29255,Will Fuller V,1,WR,390.l.99174.t.5,Salmon Sisters,True,Hou,7.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,69.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.6762,Larry Fitzgerald,1,WR,390.l.99174.t.5,Salmon Sisters,True,Ari,23.3,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,113.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.30180,Alvin Kamara,1,RB,390.l.99174.t.5,Salmon Sisters,True,NO,20.4,0.0,0.0,0.0,13.0,97.0,0.0,8.0,7.0,72.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.30161,Joe Mixon,1,RB,390.l.99174.t.5,Salmon Sisters,True,Cin,2.7,0.0,0.0,0.0,6.0,10.0,0.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.30142,David Njoku,1,TE,390.l.99174.t.5,Salmon Sisters,True,Cle,11.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,37.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.30117,Leonard Fournette,1,RB,390.l.99174.t.5,Salmon Sisters,True,Jax,8.4,0.0,0.0,0.0,13.0,66.0,0.0,6.0,4.0,28.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390.p.31856,Josh Jacobs,1,RB,390.l.99174.t.5,Salmon Sisters,False,LV,23.8,0.0,0.0,0.0,23.0,85.0,2.0,1.0,1.0,28.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
